time,temp,humidity,gas_raw,label
549175,25.0,51.0,659.0,0.0
549775,25.0,51.0,637.0,0.0
550399,25.0,51.0,636.0,0.0
550999,25.0,51.0,649.0,0.0
551599,25.0,51.0,645.0,0.0
552199,25.0,51.0,640.0,0.0
552823,25.0,51.0,649.0,0.0
553423,25.0,51.0,646.0,0.0
554023,25.0,51.0,649.0,0.0
554623,25.0,51.0,634.0,0.0
555247,24.9,51.0,633.0,0.0
555847,24.9,51.0,637.0,0.0
556447,24.9,51.0,644.0,0.0
557047,24.9,51.0,642.0,0.0
557671,25.0,51.0,639.0,0.0
558271,25.0,51.0,650.0,0.0
558871,25.0,51.0,630.0,0.0
559471,25.0,51.0,633.0,0.0
560095,24.9,51.0,632.0,0.0
560695,24.9,51.0,652.0,0.0
561295,24.9,51.0,630.0,0.0
561895,24.9,51.0,632.0,0.0
562519,25.0,51.0,631.0,0.0
563119,25.0,51.0,629.0,0.0
563719,25.0,51.0,652.0,0.0
564319,25.0,51.0,642.0,0.0
564943,25.0,51.0,636.0,0.0
565543,25.0,51.0,632.0,0.0
566143,25.0,51.0,645.0,0.0
566743,25.0,51.0,646.0,0.0
567367,25.0,51.0,636.0,0.0
567967,25.0,51.0,634.0,0.0
568567,25.0,51.0,627.0,0.0
569167,25.0,51.0,632.0,0.0
569791,25.0,51.0,640.0,0.0
570391,25.0,51.0,639.0,0.0
570991,25.0,51.0,633.0,0.0
571591,25.0,51.0,636.0,0.0
572215,25.0,51.0,639.0,0.0
572815,25.0,51.0,639.0,0.0
573415,25.0,51.0,629.0,0.0
574015,25.0,51.0,634.0,0.0
574639,25.0,51.0,637.0,0.0
575239,25.0,51.0,642.0,0.0
575839,25.0,51.0,637.0,0.0
576439,25.0,51.0,630.0,0.0
577063,25.0,51.0,635.0,0.0
577663,25.0,51.0,627.0,0.0
578263,25.0,51.0,633.0,0.0
578863,25.0,51.0,638.0,0.0
579487,25.0,52.0,631.0,0.0
580087,25.0,52.0,629.0,0.0
580687,25.0,52.0,635.0,0.0
581287,25.0,52.0,628.0,0.0
581911,25.0,52.0,632.0,0.0
582511,25.0,52.0,631.0,0.0
583111,25.0,52.0,625.0,0.0
583711,25.0,52.0,629.0,0.0
584335,25.0,52.0,624.0,0.0
584935,25.0,52.0,626.0,0.0
585535,25.0,52.0,624.0,0.0
586135,25.0,52.0,625.0,0.0
586759,25.0,52.0,628.0,0.0
587359,25.0,52.0,625.0,0.0
587959,25.0,52.0,624.0,0.0
588559,25.0,52.0,624.0,0.0
589183,25.0,52.0,625.0,0.0
589783,25.0,52.0,626.0,0.0
590383,25.0,52.0,621.0,0.0
590983,25.0,52.0,621.0,0.0
591607,25.0,52.0,622.0,0.0
592207,25.0,52.0,621.0,0.0
592807,25.0,52.0,625.0,0.0
593407,25.0,52.0,624.0,0.0
594031,25.0,52.0,624.0,0.0
594631,25.0,52.0,622.0,0.0
595231,25.0,52.0,622.0,0.0
595831,25.0,52.0,620.0,0.0
596455,25.0,51.0,623.0,0.0
597055,25.0,51.0,621.0,0.0
597655,25.0,51.0,627.0,0.0
598255,25.0,51.0,620.0,0.0
598879,25.0,51.0,616.0,0.0
599479,25.0,51.0,622.0,0.0
600079,25.0,51.0,616.0,0.0
600679,25.0,51.0,624.0,0.0
601303,25.0,51.0,620.0,0.0
601903,25.0,51.0,620.0,0.0
602503,25.0,51.0,618.0,0.0
603103,25.0,51.0,616.0,0.0
603727,25.0,51.0,622.0,0.0
604327,25.0,51.0,618.0,0.0
604927,25.0,51.0,614.0,0.0
605527,25.0,51.0,622.0,0.0
606151,25.0,51.0,619.0,0.0
606751,25.0,51.0,616.0,0.0
607351,25.0,51.0,617.0,0.0
607951,25.0,51.0,613.0,0.0
608575,25.0,51.0,621.0,0.0
609175,25.0,51.0,618.0,0.0
609775,25.0,51.0,617.0,0.0
610375,25.0,51.0,621.0,0.0
610999,25.0,51.0,620.0,0.0
611599,25.0,51.0,618.0,0.0
612199,25.0,51.0,613.0,0.0
612799,25.0,51.0,619.0,0.0
613423,25.0,51.0,619.0,0.0
614023,25.0,51.0,613.0,0.0
614623,25.0,51.0,617.0,0.0
615223,25.0,51.0,611.0,0.0
615847,25.0,51.0,613.0,0.0
616447,25.0,51.0,610.0,0.0
617047,25.0,51.0,612.0,0.0
617647,25.0,51.0,614.0,0.0
618271,25.0,51.0,615.0,0.0
618871,25.0,51.0,613.0,0.0
619471,25.0,51.0,617.0,0.0
620071,25.0,51.0,619.0,0.0
620695,25.0,51.0,613.0,0.0
621295,25.0,51.0,614.0,0.0
621895,25.0,51.0,614.0,0.0
622495,25.0,51.0,617.0,0.0
623119,25.0,51.0,615.0,0.0
623719,25.0,51.0,613.0,0.0
624319,25.0,51.0,616.0,0.0
624919,25.0,51.0,614.0,0.0
625543,25.0,51.0,615.0,0.0
626143,25.0,51.0,612.0,0.0
626743,25.0,51.0,612.0,0.0
627343,25.0,51.0,608.0,0.0
627967,25.0,51.0,610.0,0.0
628567,25.0,51.0,611.0,0.0
629167,25.0,51.0,613.0,0.0
629767,25.0,51.0,613.0,0.0
630391,25.0,51.0,612.0,0.0
630991,25.0,51.0,610.0,0.0
631591,25.0,51.0,611.0,0.0
632191,25.0,51.0,605.0,0.0
632815,25.0,51.0,610.0,0.0
633415,25.0,51.0,611.0,0.0
634015,25.0,51.0,611.0,0.0
634615,25.0,51.0,608.0,0.0
635239,25.0,51.0,610.0,0.0
635839,25.0,51.0,607.0,0.0
636439,25.0,51.0,611.0,0.0
637039,25.0,51.0,604.0,0.0
637663,25.0,51.0,612.0,0.0
638263,25.0,51.0,605.0,0.0
638863,25.0,51.0,606.0,0.0
639463,25.0,51.0,604.0,0.0
640087,25.0,51.0,608.0,0.0
